"localidade","populacao","ano"
310010,6743,2012
310010,6967,2013
310010,6992,2014
310010,7015,2015
310010,7037,2016
310010,7059,2017
310010,6972,2018
310010,6989,2019
310010,7006,2020
310010,7022,2021
310010,6272,2022
310010,6272,2023
310010,6272,2024
310010,6272,2025
310020,22740,2012
310020,23451,2013
310020,23494,2014
310020,23535,2015
310020,23574,2016
310020,23611,2017
310020,23223,2018
310020,23237,2019
310020,23250,2020
310020,23263,2021
310020,22675,2022
310020,22675,2023
310020,22675,2024
310020,22675,2025
310030,13306,2012
310030,13703,2013
310030,13711,2014
310030,13719,2015
310030,13726,2016
310030,13733,2017
310030,13465,2018
310030,13454,2019
310030,13444,2020
310030,13434,2021
310030,13927,2022
310030,13927,2023
310030,13927,2024
310030,13927,2025
310040,3925,2012
310040,4045,2013
310040,4050,2014
310040,4056,2015
310040,4061,2016
310040,4065,2017
310040,3994,2018
310040,3994,2019
310040,3994,2020
310040,3995,2021
310040,3909,2022
310040,3909,2023
310040,3909,2024
310040,3909,2025
310050,10093,2012
310050,10297,2013
310050,10216,2014
310050,10140,2015
310050,10066,2016
310050,9997,2017
310050,9575,2018
310050,9470,2019
310050,9368,2020
310050,9270,2021
310050,8943,2022
310050,8943,2023
310050,8943,2024
310050,8943,2025
310060,14803,2012
310060,15034,2013
310060,14856,2014
310060,14686,2015
310060,14524,2016
310060,14370,2017
310060,13600,2018
310060,13735,2019
310060,13523,2020
310060,13319,2021
310060,12589,2022
310060,12589,2023
310060,12589,2024
310060,12589,2025
310070,2015,2012
310070,2070,2013
310070,2067,2014
310070,2064,2015
310070,2061,2016
310070,2058,2017
310070,2005,2018
310070,1999,2019
310070,1992,2020
310070,1986,2021
310070,2108,2022
310070,2108,2023
310070,2108,2024
310070,2108,2025
310080,4129,2012
310080,4293,2013
310080,4332,2014
310080,4370,2015
310080,4406,2016
310080,4440,2017
310080,4448,2018
310080,4486,2019
310080,4522,2020
310080,4557,2021
310080,4357,2022
310080,4357,2023
310080,4357,2024
310080,4357,2025
310090,18575,2012
310090,19186,2013
310090,19248,2014
310090,19307,2015
310090,19363,2016
310090,19416,2017
310090,19166,2018
310090,19207,2019
310090,19247,2020
310090,19285,2021
310090,18448,2022
310090,18448,2023
310090,18448,2024
310090,18448,2025
310100,12850,2012
310100,13306,2013
310100,13378,2014
310100,13447,2015
310100,13513,2016
310100,13576,2017
310100,13477,2018
310100,13539,2019
310100,13599,2020
310100,13656,2021
310100,14037,2022
310100,14037,2023
310100,14037,2024
310100,14037,2025
310110,24937,2012
310110,25675,2013
310110,25685,2014
310110,25694,2015
310110,25703,2016
310110,25711,2017
310110,25193,2018
310110,25167,2019
310110,25141,2020
310110,25116,2021
310110,25269,2022
310110,25269,2023
310110,25269,2024
310110,25269,2025
310120,6116,2012
310120,6274,2013
310120,6257,2014
310120,6240,2015
310120,6224,2016
310120,6209,2017
310120,6032,2018
310120,6003,2019
310120,5976,2020
310120,5949,2021
310120,6233,2022
310120,6233,2023
310120,6233,2024
310120,6233,2025
310130,2696,2012
310130,2768,2013
310130,2764,2014
310130,2760,2015
310130,2756,2016
310130,2752,2017
310130,2683,2018
310130,2674,2019
310130,2665,2020
310130,2657,2021
310130,2749,2022
310130,2749,2023
310130,2749,2024
310130,2749,2025
310140,2924,2012
310140,3018,2013
310140,3025,2014
310140,3033,2015
310140,3040,2016
310140,3046,2017
310140,3003,2018
310140,3007,2019
310140,3011,2020
310140,3015,2021
310140,2952,2022
310140,2952,2023
310140,2952,2024
310140,2952,2025
310150,34461,2012
310150,35559,2013
310150,35641,2014
310150,35720,2015
310150,35795,2016
310150,35866,2017
310150,35321,2018
310150,35362,2019
310150,35401,2020
310150,35438,2021
310150,30717,2022
310150,30717,2023
310150,30717,2024
310150,30717,2025
310160,74804,2012
310160,77618,2013
310160,78176,2014
310160,78712,2015
310160,79222,2016
310160,79707,2017
310160,79481,2018
310160,79996,2019
310160,80494,2020
310160,80973,2021
310160,78970,2022
310160,78970,2023
310160,78970,2024
310160,78970,2025
310163,6223,2012
310163,6490,2013
310163,6566,2014
310163,6639,2015
310163,6709,2016
310163,6775,2017
310163,6831,2018
310163,6907,2019
310163,6981,2020
310163,7052,2021
310163,6931,2022
310163,6931,2023
310163,6931,2024
310163,6931,2025
310170,39287,2012
310170,40749,2013
310170,41028,2014
310170,41296,2015
310170,41552,2016
310170,41794,2017
310170,41642,2018
310170,41896,2019
310170,42143,2020
310170,42380,2021
310170,40364,2022
310170,40364,2023
310170,40364,2024
310170,40364,2025
310180,7204,2012
310180,7437,2013
310180,7458,2014
310180,7478,2015
310180,7497,2016
310180,7515,2017
310180,7411,2018
310180,7424,2019
310180,7436,2020
310180,7448,2021
310180,6903,2022
310180,6903,2023
310180,6903,2024
310180,6903,2025
310190,18709,2012
310190,19391,2013
310190,19513,2014
310190,19630,2015
310190,19741,2016
310190,19846,2017
310190,19745,2018
310190,19853,2019
310190,19958,2020
310190,20059,2021
310190,18300,2022
310190,18300,2023
310190,18300,2024
310190,18300,2025
310200,13829,2012
310200,14306,2013
310200,14371,2014
310200,14434,2015
310200,14494,2016
310200,14551,2017
310200,14414,2018
310200,14466,2019
310200,14517,2020
310200,14566,2021
310200,13915,2022
310200,13915,2023
310200,13915,2024
310200,13915,2025
310205,5392,2012
310205,5605,2013
310205,5655,2014
310205,5702,2015
310205,5748,2016
310205,5791,2017
310205,5799,2018
310205,5847,2019
310205,5894,2020
310205,5938,2021
310205,5795,2022
310205,5795,2023
310205,5795,2024
310205,5795,2025
310210,11903,2012
310210,12120,2013
310210,12006,2014
310210,11896,2015
310210,11792,2016
310210,11693,2017
310210,11146,2018
310210,11000,2019
310210,10859,2020
310210,10723,2021
310210,10891,2022
310210,10891,2023
310210,10891,2024
310210,10891,2025
310220,4329,2012
310220,4395,2013
310220,4343,2014
310220,4292,2015
310220,4245,2016
310220,4199,2017
310220,3973,2018
310220,3907,2019
310220,3844,2020
310220,3783,2021
310220,3975,2022
310220,3975,2023
310220,3975,2024
310220,3975,2025
310230,15212,2012
310230,15642,2013
310230,15630,2014
310230,15619,2015
310230,15609,2016
310230,15599,2017
310230,15239,2018
310230,15203,2019
310230,15169,2020
310230,15135,2021
310230,15059,2022
310230,15059,2023
310230,15059,2024
310230,15059,2025
310240,3549,2012
310240,3657,2013
310240,3661,2014
310240,3666,2015
310240,3669,2016
310240,3673,2017
310240,3606,2018
310240,3606,2019
310240,3605,2020
310240,3605,2021
310240,4159,2022
310240,4159,2023
310240,4159,2024
310240,4159,2025
310250,4910,2012
310250,5023,2013
310250,4997,2014
310250,4971,2015
310250,4947,2016
310250,4924,2017
310250,4751,2018
310250,4713,2019
310250,4678,2020
310250,4643,2021
310250,4541,2022
310250,4541,2023
310250,4541,2024
310250,4541,2025
310260,37920,2012
310260,39416,2013
310260,39761,2014
310260,40092,2015
310260,40407,2016
310260,40706,2017
310260,40747,2018
310260,41077,2019
310260,41396,2020
310260,41704,2021
310260,40553,2022
310260,40553,2023
310260,40553,2024
310260,40553,2025
310270,9025,2012
310270,9333,2013
310270,9372,2014
310270,9410,2015
310270,9445,2016
310270,9479,2017
310270,9382,2018
310270,9412,2019
310270,9442,2020
310270,9470,2021
310270,9110,2022
310270,9110,2023
310270,9110,2024
310270,9110,2025
310280,12153,2012
310280,12507,2013
310280,12507,2014
310280,12507,2015
310280,12507,2016
310280,12507,2017
310280,12242,2018
310280,12224,2019
310280,12206,2020
310280,12189,2021
310280,11927,2022
310280,11927,2023
310280,11927,2024
310280,11927,2025
310285,8084,2012
310285,8371,2013
310285,8416,2014
310285,8460,2015
310285,8502,2016
310285,8541,2017
310285,8481,2018
310285,8520,2019
310285,8557,2020
310285,8594,2021
310285,7718,2022
310285,7718,2023
310285,7718,2024
310285,7718,2025
310290,11151,2012
310290,11507,2013
310290,11534,2014
310290,11560,2015
310290,11584,2016
310290,11608,2017
310290,11432,2018
310290,11445,2019
310290,11459,2020
310290,11471,2021
310290,11095,2022
310290,11095,2023
310290,11095,2024
310290,11095,2025
310300,9493,2012
310300,9738,2013
310300,9711,2014
310300,9685,2015
310300,9660,2016
310300,9637,2017
310300,9363,2018
310300,9318,2019
310300,9275,2020
310300,9233,2021
310300,9219,2022
310300,9219,2023
310300,9219,2024
310300,9219,2025
310310,1653,2012
310310,1692,2013
310310,1685,2014
310310,1677,2015
310310,1670,2016
310310,1664,2017
310310,1609,2018
310310,1598,2019
310310,1587,2020
310310,1577,2021
310310,1538,2022
310310,1538,2023
310310,1538,2024
310310,1538,2025
310320,2258,2012
310320,2335,2013
310320,2344,2014
310320,2352,2015
310320,2361,2016
310320,2368,2017
310320,2341,2018
310320,2347,2019
310320,2354,2020
310320,2360,2021
310320,2181,2022
310320,2181,2023
310320,2181,2024
310320,2181,2025
310330,2054,2012
310330,2113,2013
310330,2112,2014
310330,2112,2015
310330,2112,2016
310330,2111,2017
310330,2066,2018
310330,2063,2019
310330,2059,2020
310330,2056,2021
310330,2049,2022
310330,2049,2023
310330,2049,2024
310330,2049,2025
310340,36059,2012
310340,37169,2013
310340,37220,2014
310340,37270,2015
310340,37317,2016
310340,37361,2017
310340,36705,2018
310340,36708,2019
310340,36712,2020
310340,36715,2021
310340,34297,2022
310340,34297,2023
310340,34297,2024
310340,34297,2025
310350,110983,2012
310350,114970,2013
310350,115632,2014
310350,116267,2015
310350,116871,2016
310350,117445,2017
310350,116691,2018
310350,117267,2019
310350,117825,2020
310350,118361,2021
310350,117808,2022
310350,117808,2023
310350,117808,2024
310350,117808,2025
310360,2811,2012
310360,2888,2013
310360,2884,2014
310360,2880,2015
310360,2877,2016
310360,2873,2017
310360,2804,2018
310360,2795,2019
310360,2787,2020
310360,2779,2021
310360,2915,2022
310360,2915,2023
310360,2915,2024
310360,2915,2025
310370,8188,2012
310370,8454,2013
310370,8478,2014
310370,8501,2015
310370,8523,2016
310370,8544,2017
310370,8425,2018
310370,8439,2019
310370,8453,2020
310370,8467,2021
310370,8048,2022
310370,8048,2023
310370,8048,2024
310370,8048,2025
310375,6271,2012
310375,6527,2013
310375,6593,2014
310375,6657,2015
310375,6717,2016
310375,6774,2017
310375,6804,2018
310375,6869,2019
310375,6931,2020
310375,6992,2021
310375,8479,2022
310375,8479,2023
310375,8479,2024
310375,8479,2025
310380,2780,2012
310380,2866,2013
310380,2870,2014
310380,2875,2015
310380,2879,2016
310380,2883,2017
310380,2833,2018
310380,2834,2019
310380,2835,2020
310380,2836,2021
310380,2631,2022
310380,2631,2023
310380,2631,2024
310380,2631,2025
310390,8135,2012
310390,8517,2013
310390,8645,2014
310390,8768,2015
310390,8885,2016
310390,8996,2017
310390,9142,2018
310390,9273,2019
310390,9401,2020
310390,9523,2021
310390,9199,2022
310390,9199,2023
310390,9199,2024
310390,9199,2025
310400,95888,2012
310400,99986,2013
310400,101136,2014
310400,102238,2015
310400,103287,2016
310400,104283,2017
310400,105083,2018
310400,106229,2019
310400,107337,2020
310400,108403,2021
310400,111691,2022
310400,111691,2023
310400,111691,2024
310400,111691,2025
310410,9732,2012
310410,10146,2013
310410,10262,2014
310410,10373,2015
310410,10478,2016
310410,10578,2017
310410,10657,2018
310410,10772,2019
310410,10883,2020
310410,10990,2021
310410,9177,2022
310410,9177,2023
310410,9177,2024
310410,9177,2025
310420,37188,2012
310420,38630,2013
310420,38946,2014
310420,39249,2015
310420,39537,2016
310420,39811,2017
310420,39793,2018
310420,40092,2019
310420,40380,2020
310420,40658,2021
310420,41416,2022
310420,41416,2023
310420,41416,2024
310420,41416,2025
310430,13958,2012
310430,14503,2013
310430,14624,2014
310430,14740,2015
310430,14851,2016
310430,14956,2017
310430,14955,2018
310430,15070,2019
310430,15181,2020
310430,15288,2021
310430,13881,2022
310430,13881,2023
310430,13881,2024
310430,13881,2025
310440,2860,2012
310440,2924,2013
310440,2907,2014
310440,2890,2015
310440,2874,2016
310440,2859,2017
310440,2751,2018
310440,2727,2019
310440,2704,2020
310440,2681,2021
310440,2688,2022
310440,2688,2023
310440,2688,2024
310440,2688,2025
310445,4848,2012
310445,5036,2013
310445,5078,2014
310445,5118,2015
310445,5156,2016
310445,5192,2017
310445,5191,2018
310445,5231,2019
310445,5269,2020
310445,5305,2021
310445,4719,2022
310445,4719,2023
310445,4719,2024
310445,4719,2025
310450,17669,2012
310450,18198,2013
310450,18210,2014
310450,18221,2015
310450,18232,2016
310450,18243,2017
310450,17888,2018
310450,17875,2019
310450,17862,2020
310450,17850,2021
310450,17272,2022
310450,17272,2023
310450,17272,2024
310450,17272,2025
310460,13237,2012
310460,13738,2013
310460,13840,2014
310460,13937,2015
310460,14030,2016
310460,14118,2017
310460,14085,2018
310460,14179,2019
310460,14270,2020
310460,14358,2021
310460,14138,2022
310460,14138,2023
310460,14138,2024
310460,14138,2025
310470,14109,2012
310470,14344,2013
310470,14188,2014
310470,14039,2015
310470,13897,2016
310470,13762,2017
310470,13064,2018
310470,12868,2019
310470,12678,2020
310470,12496,2021
310470,13736,2022
310470,13736,2023
310470,13736,2024
310470,13736,2025
310480,4930,2012
310480,5062,2013
310480,5051,2014
310480,5041,2015
310480,5032,2016
