"","localidade","populacao"
"1","310070","2108"
"2","310160","78970"
"3","310250","4541"
"4","310340","34297"
"5","310430","13881"
"6","310520","4741"
"7","310610","3244"
"8","310665","4201"
"9","310700","2383"
"10","310790","12649"
"11","310825","10204"
"12","310880","4441"
"13","310970","11883"
"14","311060","29536"
"15","311150","12979"
"16","311240","6562"
"17","311330","31240"
"18","311420","23479"
"19","311455","9422"
"20","311510","17155"
"21","311545","7030"
"22","311600","6075"
"23","311690","2773"
"24","311780","10880"
"25","311783","7237"
"26","311870","9023"
"27","311940","104736"
"28","311960","2762"
"29","311995","6133"
"30","312030","5121"
"31","312050","10374"
"32","312120","8393"
"33","312210","4178"
"34","312300","10007"
"35","312352","7817"
"36","312390","14746"
"37","312480","6840"
"38","312570","13978"
"39","312660","4503"
"40","312750","5230"
"41","312840","7714"
"42","312930","12030"
"43","312965","5081"
"44","313020","10830"
"45","313055","6986"
"46","313110","7371"
"47","313200","4252"
"48","313290","10770"
"49","313380","97669"
"50","313470","11042"
"51","313505","37660"
"52","313560","6484"
"53","313650","10304"
"54","313740","12769"
"55","313830","3199"
"56","313862","8687"
"57","313865","8790"
"58","313868","6210"
"59","313920","17516"
"60","313990","14247"
"61","314010","4224"
"62","314080","14121"
"63","314100","12038"
"64","314170","5040"
"65","314190","3741"
"66","314225","3985"
"67","314260","8340"
"68","314315","4381"
"69","314350","9067"
"70","314437","3520"
"71","314440","4691"
"72","314530","26975"
"73","314585","4917"
"74","314620","5757"
"75","314675","6301"
"76","314710","97139"
"77","314800","159235"
"78","314890","4112"
"79","314980","17151"
"80","315015","8529"
"81","315070","5537"
"82","315160","11145"
"83","315250","152217"
"84","315340","18765"
"85","315430","17226"
"86","315520","5429"
"87","315610","4994"
"88","315645","4734"
"89","315700","40178"
"90","315790","16395"
"91","315880","4214"
"92","315970","3382"
"93","316060","2717"
"94","316095","5626"
"95","316130","5732"
"96","316150","10282"
"97","316220","7652"
"98","316240","23930"
"99","316310","4536"
"100","316400","7166"
"101","316490","2300"
"102","316580","2068"
"103","316670","6944"
"104","316760","19750"
"105","316850","12255"
"106","316905","3826"
"107","316940","55255"
"108","317030","2684"
"109","317120","129246"
"110","317210","4443"
"111","310010","6272"
"112","310100","14037"
"113","310190","18300"
"114","310280","11927"
"115","310370","8048"
